"","TWII.Open","TWII.High","TWII.Low","TWII.Close","TWII.Volume","TWII.Adjusted"
"2007-01-02",7871.410156,7937.259766,7843.600098,7920.799805,5710600,7920.769531
"2007-01-03",7954.959961,7999.419922,7917.299805,7917.299805,5951400,7917.269531
"2007-01-04",7929.890137,7955.899902,7901.240234,7934.509766,5717400,7934.479492
"2007-01-05",7940.200195,7942.22998,7821.709961,7835.569824,5181400,7835.540527
"2007-01-08",7778.569824,7797.569824,7736.109863,7736.709961,4292400,7736.681152
"2007-01-09",7778.379883,7827.930176,7778.379883,7790.009766,4516000,7789.980957
"2007-01-10",7737.25,7748.790039,7682.819824,7698.52002,5153200,7698.491211
"2007-01-11",7724.100098,7748.959961,7599.549805,7618.549805,5735400,7618.520996
"2007-01-12",7713.629883,7769.310059,7704.390137,7761.709961,4478600,7761.681152
"2007-01-15",7809.910156,7814.850098,7741.490234,7783.5,3817600,7783.471191
"2007-01-16",7792.77002,7831.200195,7780.649902,7792.080078,3743600,7792.05127
"2007-01-17",7757.799805,7841.259766,7747.580078,7833.97998,4016600,7833.950684
"2007-01-18",7852.259766,7896.950195,7830.22998,7895.180176,4237200,7895.149902
"2007-01-19",7859.470215,7892.609863,7840.080078,7840.080078,4385000,7840.050781
"2007-01-22",7866.169922,7871.009766,7784.209961,7842.470215,4297000,7842.440918
"2007-01-23",7837.439941,7869.549805,7818.580078,7852.359863,3795400,7852.330078
"2007-01-24",7943.240234,7949.47998,7916.390137,7935.540039,4488800,7935.509766
"2007-01-25",7982.640137,7990.549805,7917.649902,7923.77002,4337000,7923.739746
"2007-01-26",7825.75,7883.5,7793.910156,7821.319824,3465200,7821.290527
"2007-01-29",7831.569824,7838.919922,7746.370117,7751.790039,3143600,7751.76123
"2007-01-30",7763.529785,7778.240234,7725.410156,7739.910156,3010000,7739.881348
"2007-01-31",7759.790039,7778.689941,7637.540039,7699.640137,3180000,7699.611328
"2007-02-01",7751.299805,7757.629883,7679.779785,7701.540039,2706600,7701.51123
"2007-02-02",7754.160156,7801.629883,7751.529785,7777.029785,3134800,7777.000977
"2007-02-05",7786.77002,7823.939941,7772.049805,7783.120117,2786200,7783.091309
"2007-02-06",7816.299805,7875.75,7802.939941,7875.75,3497800,7875.720215
"2007-02-07",7894.77002,7894.77002,7850.060059,7850.060059,3214400,7850.030762
"2007-02-08",7875.52002,7884.72998,7790.629883,7842.220215,2895200,7842.190918
"2007-02-09",7847.180176,7884.549805,7822.529785,7859.529785,3363400,7859.5
"2007-02-12",7826.459961,7826.459961,7764.509766,7776.359863,2787000,7776.331055
"2007-02-13",7782.069824,7800.870117,7725.810059,7736.830078,2776200,7736.80127
"2007-02-14",7800.97998,7812.180176,7764.310059,7809.450195,3006200,7809.421387
"2007-02-26",7939.399902,7950.200195,7899.549805,7900.200195,4170000,7900.169922
"2007-02-27",7908.790039,7939.5,7881.919922,7901.959961,3971200,7901.929688
"2007-03-01",7707.629883,7761.399902,7663.169922,7678.669922,4230600,7678.641113
"2007-03-02",7653.350098,7695.149902,7625.990234,7670.77002,3742200,7670.741211
"2007-03-05",7565.950195,7565.950195,7306.069824,7344.560059,4410800,7344.532227
"2007-03-06",7379.080078,7452.839844,7349.97998,7451.060059,3320600,7451.032227
"2007-03-07",7516.209961,7519.459961,7449.669922,7480.890137,3883200,7480.862305
"2007-03-08",7517.77002,7573.870117,7510.439941,7573.870117,3586200,7573.841309
"2007-03-09",7615.810059,7619.350098,7550.830078,7568.200195,3310400,7568.171387
"2007-03-12",7611.149902,7640.140137,7590.819824,7629.149902,3009600,7629.121094
"2007-03-13",7664.700195,7694.589844,7661.759766,7684,3403200,7683.971191
"2007-03-14",7552.72998,7575.52002,7526.47998,7570.27002,3609400,7570.241211
"2007-03-15",7631.669922,7708.97998,7631.669922,7695.959961,4206400,7695.931152
"2007-03-16",7707.149902,7743.370117,7676.390137,7719.799805,4291000,7719.770996
"2007-03-19",7739.560059,7759.660156,7713.779785,7737.459961,3562800,7737.431152
"2007-03-20",7784.27002,7798.27002,7736.200195,7736.200195,3932400,7736.171387
"2007-03-21",7780.299805,7784.189941,7746.350098,7757.029785,3279800,7757.000977
"2007-03-22",7843.640137,7856.990234,7822.629883,7823.669922,3989400,7823.640625
"2007-03-23",7834.620117,7879.089844,7806.890137,7859.319824,3837000,7859.290039
"2007-03-26",7878.589844,7887.330078,7853.149902,7877.819824,3623800,7877.789551
"2007-03-27",7876.759766,7928.029785,7839.220215,7845.169922,4038400,7845.140625
"2007-03-28",7832.620117,7841.399902,7769.299805,7788.140137,3720800,7788.111328
"2007-03-29",7765.069824,7863.629883,7764.049805,7848.330078,4128600,7848.300781
"2007-03-30",7877.75,7888.819824,7839.910156,7884.410156,4225600,7884.379883
"2007-04-02",7888.169922,7931.990234,7866.589844,7884.990234,4390000,7884.959961
"2007-04-03",7894.870117,7932.910156,7879.879883,7932.910156,4498600,7932.879883
"2007-04-04",7989.649902,8021.589844,7970.459961,8004.609863,4993200,8004.579102
"2007-04-09",8048.339844,8066.77002,8026.330078,8056.560059,4772200,8056.529297
"2007-04-10",8064.540039,8064.540039,8002.490234,8048.390137,4616600,8048.359375
